0,2019-02-27 00:00:02.543139,2019-02-27 16:00:00,Mostly Cloudy,63°,0%,49%,SW 4 mph 
1,2019-02-27 00:00:02.543139,2019-02-27 17:00:00,Mostly Cloudy,61°,0%,53%,WSW 5 mph 
2,2019-02-27 00:00:02.543139,2019-02-27 18:00:00,Mostly Cloudy,58°,0%,63%,SW 4 mph 
3,2019-02-27 00:00:02.543139,2019-02-27 19:00:00,Mostly Cloudy,56°,0%,69%,SSW 4 mph 
4,2019-02-27 00:00:02.543139,2019-02-27 20:00:00,Mostly Cloudy,57°,0%,67%,SSW 5 mph 
5,2019-02-27 00:00:02.543139,2019-02-27 21:00:00,Partly Cloudy,56°,0%,70%,SSW 5 mph 
6,2019-02-27 00:00:02.543139,2019-02-27 22:00:00,Partly Cloudy,54°,5%,74%,S 5 mph 
7,2019-02-27 00:00:02.543139,2019-02-27 23:00:00,Mostly Cloudy,53°,5%,76%,S 6 mph 
8,2019-02-27 00:00:02.543139,2019-02-28 00:00:00,Mostly Cloudy,52°,5%,77%,SE 6 mph 
9,2019-02-27 00:00:02.543139,2019-02-28 01:00:00,Cloudy,51°,5%,78%,ESE 6 mph 
10,2019-02-27 00:00:02.543139,2019-02-28 02:00:00,Cloudy,51°,5%,78%,SSE 5 mph 
11,2019-02-27 00:00:02.543139,2019-02-28 03:00:00,Showers,51°,35%,78%,SE 5 mph 
12,2019-02-27 00:00:02.543139,2019-02-28 04:00:00,Rain,51°,75%,79%,S 6 mph 
13,2019-02-27 00:00:02.543139,2019-02-28 05:00:00,Rain,51°,100%,82%,E 6 mph 
14,2019-02-27 00:00:02.543139,2019-02-28 06:00:00,Rain,51°,100%,86%,ENE 8 mph 
15,2019-02-27 00:00:02.543139,2019-02-28 07:00:00,Rain,51°,85%,87%,ENE 7 mph 
0,2019-02-27 01:00:02.524667,2019-02-27 17:15:00,Cloudy,61°,0%,57%,WSW 1 mph 
1,2019-02-27 01:00:02.524667,2019-02-27 18:00:00,Cloudy,59°,0%,64%,SW 1 mph 
2,2019-02-27 01:00:02.524667,2019-02-27 19:00:00,Cloudy,57°,0%,70%,SSW 1 mph 
3,2019-02-27 01:00:02.524667,2019-02-27 20:00:00,Mostly Cloudy,56°,0%,70%,SSW 1 mph 
4,2019-02-27 01:00:02.524667,2019-02-27 21:00:00,Partly Cloudy,56°,0%,68%,SSW 5 mph 
5,2019-02-27 01:00:02.524667,2019-02-27 22:00:00,Mostly Cloudy,54°,0%,73%,S 5 mph 
6,2019-02-27 01:00:02.524667,2019-02-27 23:00:00,Mostly Cloudy,53°,5%,73%,SSE 6 mph 
7,2019-02-27 01:00:02.524667,2019-02-28 00:00:00,Mostly Cloudy,53°,5%,75%,SE 6 mph 
8,2019-02-27 01:00:02.524667,2019-02-28 01:00:00,Cloudy,52°,5%,77%,ESE 6 mph 
9,2019-02-27 01:00:02.524667,2019-02-28 02:00:00,Cloudy,51°,5%,77%,SSE 6 mph 
10,2019-02-27 01:00:02.524667,2019-02-28 03:00:00,Cloudy,51°,25%,76%,SE 6 mph 
11,2019-02-27 01:00:02.524667,2019-02-28 04:00:00,Rain,51°,75%,78%,S 6 mph 
12,2019-02-27 01:00:02.524667,2019-02-28 05:00:00,Rain,51°,100%,82%,E 6 mph 
13,2019-02-27 01:00:02.524667,2019-02-28 06:00:00,Rain,51°,100%,86%,ENE 7 mph 
14,2019-02-27 01:00:02.524667,2019-02-28 07:00:00,Rain,51°,95%,87%,ENE 7 mph 
15,2019-02-27 01:00:02.524667,2019-02-28 08:00:00,Light Rain,52°,65%,87%,E 7 mph 
0,2019-02-27 02:00:02.758305,2019-02-27 18:00:00,Mostly Cloudy,61°,0%,57%,Calm
1,2019-02-27 02:00:02.758305,2019-02-27 19:00:00,Mostly Cloudy,58°,5%,64%,Calm
2,2019-02-27 02:00:02.758305,2019-02-27 20:00:00,Mostly Cloudy,57°,10%,65%,SSW 1 mph 
3,2019-02-27 02:00:02.758305,2019-02-27 21:00:00,Partly Cloudy,56°,5%,67%,SSW 2 mph 
4,2019-02-27 02:00:02.758305,2019-02-27 22:00:00,Mostly Cloudy,54°,0%,73%,S 5 mph 
5,2019-02-27 02:00:02.758305,2019-02-27 23:00:00,Mostly Cloudy,53°,0%,73%,SSE 6 mph 
6,2019-02-27 02:00:02.758305,2019-02-28 00:00:00,Cloudy,53°,5%,75%,SE 6 mph 
7,2019-02-27 02:00:02.758305,2019-02-28 01:00:00,Cloudy,52°,5%,77%,ESE 6 mph 
8,2019-02-27 02:00:02.758305,2019-02-28 02:00:00,Cloudy,51°,5%,77%,SSE 6 mph 
9,2019-02-27 02:00:02.758305,2019-02-28 03:00:00,Cloudy,51°,25%,76%,SE 6 mph 
10,2019-02-27 02:00:02.758305,2019-02-28 04:00:00,Rain,51°,75%,78%,S 6 mph 
11,2019-02-27 02:00:02.758305,2019-02-28 05:00:00,Rain,51°,100%,82%,E 6 mph 
12,2019-02-27 02:00:02.758305,2019-02-28 06:00:00,Rain,51°,100%,86%,ENE 7 mph 
13,2019-02-27 02:00:02.758305,2019-02-28 07:00:00,Rain,51°,95%,87%,ENE 7 mph 
14,2019-02-27 02:00:02.758305,2019-02-28 08:00:00,Light Rain,52°,65%,87%,E 7 mph 
15,2019-02-27 02:00:02.758305,2019-02-28 09:00:00,Showers,54°,45%,85%,ESE 10 mph 
0,2019-02-27 03:00:02.745592,2019-02-27 19:00:00,Showers,57°,40%,69%,Calm
1,2019-02-27 03:00:02.745592,2019-02-27 20:00:00,Mostly Cloudy,56°,10%,69%,SSW 1 mph 
2,2019-02-27 03:00:02.745592,2019-02-27 21:00:00,Partly Cloudy,55°,0%,71%,SSW 2 mph 
3,2019-02-27 03:00:02.745592,2019-02-27 22:00:00,Partly Cloudy,54°,0%,75%,S 2 mph 
4,2019-02-27 03:00:02.745592,2019-02-27 23:00:00,Mostly Cloudy,53°,0%,73%,SSE 6 mph 
5,2019-02-27 03:00:02.745592,2019-02-28 00:00:00,Cloudy,53°,0%,75%,SE 6 mph 
6,2019-02-27 03:00:02.745592,2019-02-28 01:00:00,Cloudy,51°,5%,78%,SE 6 mph 
7,2019-02-27 03:00:02.745592,2019-02-28 02:00:00,Cloudy,51°,5%,77%,SSE 6 mph 
8,2019-02-27 03:00:02.745592,2019-02-28 03:00:00,Cloudy,51°,20%,76%,SE 6 mph 
9,2019-02-27 03:00:02.745592,2019-02-28 04:00:00,Rain,51°,75%,78%,S 6 mph 
10,2019-02-27 03:00:02.745592,2019-02-28 05:00:00,Rain,51°,100%,82%,E 6 mph 
11,2019-02-27 03:00:02.745592,2019-02-28 06:00:00,Rain,51°,100%,86%,ENE 7 mph 
12,2019-02-27 03:00:02.745592,2019-02-28 07:00:00,Rain,51°,90%,87%,ENE 7 mph 
13,2019-02-27 03:00:02.745592,2019-02-28 08:00:00,Light Rain,52°,60%,87%,E 7 mph 
14,2019-02-27 03:00:02.745592,2019-02-28 09:00:00,Showers,54°,40%,85%,ESE 10 mph 
15,2019-02-27 03:00:02.745592,2019-02-28 10:00:00,Showers,56°,40%,80%,SE 10 mph 
0,2019-02-27 04:00:02.607467,2019-02-27 20:00:00,Mostly Cloudy,56°,0%,72%,SSW 4 mph 
1,2019-02-27 04:00:02.607467,2019-02-27 21:00:00,Mostly Cloudy,56°,0%,73%,SSW 5 mph 
2,2019-02-27 04:00:02.607467,2019-02-27 22:00:00,Mostly Cloudy,54°,0%,76%,SSW 4 mph 
3,2019-02-27 04:00:02.607467,2019-02-27 23:00:00,Mostly Cloudy,54°,0%,76%,S 5 mph 
4,2019-02-27 04:00:02.607467,2019-02-28 00:00:00,Mostly Cloudy,53°,0%,74%,SE 6 mph 
5,2019-02-27 04:00:02.607467,2019-02-28 01:00:00,Cloudy,52°,5%,77%,SE 6 mph 
6,2019-02-27 04:00:02.607467,2019-02-28 02:00:00,Cloudy,51°,20%,78%,SE 5 mph 
7,2019-02-27 04:00:02.607467,2019-02-28 03:00:00,Cloudy,51°,25%,78%,SE 6 mph 
8,2019-02-27 04:00:02.607467,2019-02-28 04:00:00,Rain,51°,75%,79%,SSE 6 mph 
9,2019-02-27 04:00:02.607467,2019-02-28 05:00:00,Rain,51°,95%,82%,ESE 5 mph 
10,2019-02-27 04:00:02.607467,2019-02-28 06:00:00,Rain,51°,100%,85%,ENE 6 mph 
11,2019-02-27 04:00:02.607467,2019-02-28 07:00:00,Rain,51°,75%,87%,ENE 7 mph 
12,2019-02-27 04:00:02.607467,2019-02-28 08:00:00,Light Rain,52°,60%,87%,E 8 mph 
13,2019-02-27 04:00:02.607467,2019-02-28 09:00:00,Showers,53°,45%,87%,ESE 10 mph 
14,2019-02-27 04:00:02.607467,2019-02-28 10:00:00,Showers,56°,40%,80%,SE 11 mph 
15,2019-02-27 04:00:02.607467,2019-02-28 11:00:00,Showers,58°,35%,76%,SE 10 mph 
0,2019-02-27 05:00:02.572627,2019-02-27 21:15:00,Partly Cloudy,55°,0%,72%,SSW 2 mph 
1,2019-02-27 05:00:02.572627,2019-02-27 22:00:00,Cloudy,55°,0%,76%,SSW 4 mph 
2,2019-02-27 05:00:02.572627,2019-02-27 23:00:00,Cloudy,54°,0%,75%,S 5 mph 
3,2019-02-27 05:00:02.572627,2019-02-28 00:00:00,Cloudy,53°,0%,78%,SE 5 mph 
4,2019-02-27 05:00:02.572627,2019-02-28 01:00:00,Cloudy,52°,0%,77%,SE 6 mph 
